"","taxon.name","cartodb_id","comarca","provincia","nom_comar","sup_comar","geometry"
"1466","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.2112625, 41.401357)
"1467","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.2087469, 41.3994332)
"1468","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.2113118, 41.4014294)
"1469","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.2088066, 41.3994234)
"1470","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.2166373, 41.4059086)
"1589","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1471226, 41.4188331)
"1590","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1472829, 41.4188934)
"1592","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1472648, 41.418859)
"1670","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1858393, 41.3947394)
"1944","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1523024, 41.4398734)
"2053","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1437416, 41.4095481)
"2133","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1794236, 41.4484122)
"2135","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1795203, 41.4483539)
"2136","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1796183, 41.4483228)
"2266","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.185204, 41.4071847)
"2555","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1591, 41.3773834)
"2819","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.177102, 41.4478422)
"2900","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1829803, 41.4222417)
"3343","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1448571, 41.403434)
"3717","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1604294, 41.4288118)
"4162","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.164852, 41.4438894)
"4165","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1659269, 41.4442805)
"4208","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1423026, 41.4323486)
"4296","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1460445, 41.413122)
"4301","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1457609, 41.4130751)
"4418","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1727012, 41.4028951)
"4426","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1439302, 41.3593999)
"4447","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1437823, 41.3584211)
"4451","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1493549, 41.4215281)
"4452","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1493817, 41.4215222)
"4453","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1494149, 41.4214957)
"4454","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1494239, 41.4214606)
"4492","Acacia saligna",19,13,"08","Barcelonès",146.29,c(2.1423008, 41.4232132)
"8","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1006115526, 41.3418420704)
"17","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1060416667, 41.3829466667)
"18","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1060716667, 41.3825366667)
"19","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1060983333, 41.3831433333)
"20","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.106235, 41.3831183333)
"21","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1062833333, 41.3828833333)
"22","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1063016667, 41.3829033333)
"23","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1063666667, 41.3831266667)
"24","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1063783333, 41.3831483333)
"25","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1055055, 41.40231333)
"26","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.106585, 41.3829783333)
"27","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1066083333, 41.382965)
"28","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.10662, 41.3833483333)
"29","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1068483333, 41.3832916667)
"30","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1068933333, 41.38331)
"31","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1068966667, 41.3832766667)
"33","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.10717, 41.383035)
"36","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1073433333, 41.3834883333)
"37","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1073433333, 41.3835116667)
"39","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1071555, 41.3887783333)
"40","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.10747, 41.3831816667)
"42","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.10747, 41.38348)
"43","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1074983333, 41.383715)
"44","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1075416667, 41.3832683333)
"57","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1093183333, 41.3837783333)
"63","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.110905, 41.3849116667)
"64","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.11095, 41.3848966667)
"65","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1109533333, 41.384905)
"66","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1109683333, 41.3848566667)
"67","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1110316667, 41.3849616667)
"71","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1113316667, 41.38447)
"72","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1113766667, 41.384445)
"74","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.111445, 41.38512)
"79","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1116416667, 41.3850683333)
"82","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.111725, 41.3852366667)
"84","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1118916667, 41.384385)
"88","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1120133333, 41.3850466667)
"90","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121033333, 41.3851016667)
"91","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121066667, 41.385215)
"92","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.11211, 41.3852066667)
"93","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121333333, 41.3850516667)
"94","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121433333, 41.3850783333)
"95","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121933333, 41.385035)
"96","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1122083333, 41.3848183333)
"97","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1122183333, 41.38503)
"98","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1122583333, 41.3851516667)
"105","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.112675, 41.3851083333)
"137","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1156366667, 41.3859066667)
"138","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.11572, 41.3860216667)
"140","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1157283333, 41.3859383333)
"172","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1204266667, 41.38496)
"189","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1226566667, 41.3878866667)
"190","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1212305, 41.4202333333)
"192","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.12108883, 41.424095)
"193","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1229583333, 41.3880416667)
"440","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1446695, 41.41254667)
"446","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.14523, 41.4377933333)
"450","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1460816667, 41.43751)
"453","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1464666667, 41.4374433333)
"456","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1466333333, 41.4370083333)
"574","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1548433333, 41.3565533333)
"585","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1549533333, 41.3566533333)
"617","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1511111667, 41.4403383333)
"663","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.15338413, 41.41833778)
"709","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.15680283, 41.41783)
"710","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.15710833, 41.41568333)
"711","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1558216667, 41.4409233333)
"714","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1560366667, 41.4405333333)
"715","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1560316667, 41.4409166667)
"716","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.15613, 41.4406183333)
"738","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.164625, 41.3633916667)
"739","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1617776528, 41.4193088542)
"773","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1660153333, 41.3705374167)
"789","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1648666667, 41.41867)
"791","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1650278333, 41.4190633333)
"807","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1665195, 41.41752)
"989","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1851219188, 41.4026317851)
"1342","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.2258533333, 41.4648383333)
"32","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1071416667, 41.3832483333)
"34","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1072933333, 41.383425)
"35","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1073116667, 41.383145)
"38","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1074316667, 41.3830733333)
"41","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.10748, 41.3832)
"46","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1077016667, 41.3838516667)
"52","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.108945, 41.3839316667)
"53","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1090466667, 41.3831433333)
"54","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1090366667, 41.38341)
"55","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1090283333, 41.3838633333)
"56","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.109165, 41.3843083333)
"59","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.10939, 41.38421)
"61","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1099983333, 41.3845433333)
"62","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1105883333, 41.383965)
"76","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1115783333, 41.3850616667)
"80","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.111695, 41.3845266667)
"87","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1120133333, 41.3850383333)
"104","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.112475, 41.3850533333)
"106","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.112737, 41.3854717)
"119","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1135533333, 41.3848066667)
"123","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.11377, 41.3848)
"133","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1152966667, 41.385615)
"134","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1154233333, 41.385645)
"135","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.11544, 41.385655)
"143","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1159133333, 41.3858466667)
"144","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1160133333, 41.3851516667)
"145","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1160516667, 41.385085)
"147","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1161083333, 41.385825)
"149","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1162916667, 41.3850666667)
"151","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.116385, 41.3852566667)
"156","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1175583333, 41.3861033333)
"160","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1193616667, 41.3867533333)
"162","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1197566667, 41.38493)
"180","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.121255, 41.3873233333)
