"","latitud","longitud","taxon.name"
"1461",41.401357,2.2112625,"Acacia saligna"
"1462",41.3994332,2.2087469,"Acacia saligna"
"1463",41.4014294,2.2113118,"Acacia saligna"
"1464",41.3994234,2.2088066,"Acacia saligna"
"1465",41.4059086,2.2166373,"Acacia saligna"
"1584",41.4188331,2.1471226,"Acacia saligna"
"1585",41.4188934,2.1472829,"Acacia saligna"
"1587",41.418859,2.1472648,"Acacia saligna"
"1665",41.3947394,2.1858393,"Acacia saligna"
"1939",41.4398734,2.1523024,"Acacia saligna"
"2048",41.4095481,2.1437416,"Acacia saligna"
"2128",41.4484122,2.1794236,"Acacia saligna"
"2130",41.4483539,2.1795203,"Acacia saligna"
"2131",41.4483228,2.1796183,"Acacia saligna"
"2261",41.4071847,2.185204,"Acacia saligna"
"2550",41.3773834,2.1591,"Acacia saligna"
"2814",41.4478422,2.177102,"Acacia saligna"
"2895",41.4222417,2.1829803,"Acacia saligna"
"3338",41.403434,2.1448571,"Acacia saligna"
"3712",41.4288118,2.1604294,"Acacia saligna"
"4157",41.4438894,2.164852,"Acacia saligna"
"4160",41.4442805,2.1659269,"Acacia saligna"
"4203",41.4323486,2.1423026,"Acacia saligna"
"4291",41.413122,2.1460445,"Acacia saligna"
"4296",41.4130751,2.1457609,"Acacia saligna"
"4413",41.4028951,2.1727012,"Acacia saligna"
"4421",41.3593999,2.1439302,"Acacia saligna"
"4442",41.3584211,2.1437823,"Acacia saligna"
"4446",41.4215281,2.1493549,"Acacia saligna"
"4447",41.4215222,2.1493817,"Acacia saligna"
"4448",41.4214957,2.1494149,"Acacia saligna"
"4449",41.4214606,2.1494239,"Acacia saligna"
"4487",41.4232132,2.1423008,"Acacia saligna"
"3",41.3685447624,2.0957322791,"Cenchrus longisetus"
"8",41.3418420704,2.1006115526,"Cenchrus longisetus"
"16",41.3829466667,2.1060416667,"Cenchrus longisetus"
"17",41.3825366667,2.1060716667,"Cenchrus longisetus"
"18",41.3831433333,2.1060983333,"Cenchrus longisetus"
"19",41.3831183333,2.106235,"Cenchrus longisetus"
"20",41.3828833333,2.1062833333,"Cenchrus longisetus"
"21",41.3829033333,2.1063016667,"Cenchrus longisetus"
"22",41.3831266667,2.1063666667,"Cenchrus longisetus"
"23",41.3831483333,2.1063783333,"Cenchrus longisetus"
"24",41.40231333,2.1055055,"Cenchrus longisetus"
"25",41.3829783333,2.106585,"Cenchrus longisetus"
"26",41.382965,2.1066083333,"Cenchrus longisetus"
"27",41.3833483333,2.10662,"Cenchrus longisetus"
"28",41.3832916667,2.1068483333,"Cenchrus longisetus"
"29",41.38331,2.1068933333,"Cenchrus longisetus"
"30",41.3832766667,2.1068966667,"Cenchrus longisetus"
"32",41.383035,2.10717,"Cenchrus longisetus"
"35",41.3834883333,2.1073433333,"Cenchrus longisetus"
"36",41.3835116667,2.1073433333,"Cenchrus longisetus"
"38",41.3887783333,2.1071555,"Cenchrus longisetus"
"39",41.3831816667,2.10747,"Cenchrus longisetus"
"41",41.38348,2.10747,"Cenchrus longisetus"
"42",41.383715,2.1074983333,"Cenchrus longisetus"
"43",41.3832683333,2.1075416667,"Cenchrus longisetus"
"54",41.3837783333,2.1093183333,"Cenchrus longisetus"
"60",41.3849116667,2.110905,"Cenchrus longisetus"
"61",41.3848966667,2.11095,"Cenchrus longisetus"
"62",41.384905,2.1109533333,"Cenchrus longisetus"
"63",41.3848566667,2.1109683333,"Cenchrus longisetus"
"64",41.3849616667,2.1110316667,"Cenchrus longisetus"
"68",41.38447,2.1113316667,"Cenchrus longisetus"
"69",41.384445,2.1113766667,"Cenchrus longisetus"
"71",41.38512,2.111445,"Cenchrus longisetus"
