"","taxon.name","cartodb_id","comarca","provincia","nom_comar","sup_comar","geometry"
"2","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.0925278256, 41.4288435419)
"4","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.0958249321, 41.3669869635)
"5","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.09611383, 41.36520833)
"6","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.0946036758, 41.4154660226)
"7","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1001686528, 41.3474045769)
"8","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1006115526, 41.3418420704)
"9","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.0970510878, 41.4200513112)
"10","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.0978824887, 41.4189584786)
"11","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.0994747151, 41.4181721304)
"12","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.102798894, 41.3656128664)
"13","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.10021534, 41.4196643606)
"14","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1003320999, 41.4189285972)
"15","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1061695696, 41.3441101771)
"16","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1060416667, 41.3829466667)
"17","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1060716667, 41.3825366667)
"18","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1060983333, 41.3831433333)
"19","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.106235, 41.3831183333)
"20","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1062833333, 41.3828833333)
"21","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1063016667, 41.3829033333)
"22","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1063666667, 41.3831266667)
"23","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1063783333, 41.3831483333)
"24","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1055055, 41.40231333)
"25","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.106585, 41.3829783333)
"26","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1066083333, 41.382965)
"27","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.10662, 41.3833483333)
"28","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1068483333, 41.3832916667)
"29","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1068933333, 41.38331)
"30","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1068966667, 41.3832766667)
"31","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1071416667, 41.3832483333)
"32","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.10717, 41.383035)
"33","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1072933333, 41.383425)
"34","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1073116667, 41.383145)
"35","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1073433333, 41.3834883333)
